Eintragsnummer;Tree;BLEU;BCR;FCR;Gapping;SGF;LCO;NoCCE;"Phenomena simplified (b/f/g/s/k=not-bfgs-coord);""-"" kein Phänomen, gegebenenfalls Satzkoordination(en)";Phenomena Bemerkung;Treebank-Sentence;Reconstructed-Sentence;Gold_1;Gold_2;Gold_3
25;(s102907_VROOT(SIMPX(VF-3p(NX-ON(NX-KONJ-npf(ADJX-npf(ADJA-npf Wirtschaftliche))(NN-npf Sanktionen))(KON und)(NX-KONJ-nsf(NN-nsf Gewalt))))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis bewirken)))(MF(NX-OA-***(ADVX(ADV gar))(PIS-*** nichts))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Wirtschaftliche Sanktionen und Gewalt bewirken gar nichts .;Wirtschaftliche Sanktionen und Gewalt bewirken gar nichts .;Wirtschaftliche Sanktionen und Gewalt bewirken gar nichts .;;
26;(s100038_VROOT(SIMPX(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(NX-PRED(NX-KONJ-nsf(PIAT-nsf kein)(ADJX-nsf(ADJA-nsf zufällige))(NN-nsf Konstellation))($, ,)(KON sondern)(NX-KONJ-nsf(NN-nsf Konsequenz)))))($. .));1;0;1;1;0;0;0;fg;gf, NP Koord SB;Das ist kein zufällige Konstellation , sondern Konsequenz .;Das ist kein zufällige Konstellation , sondern Konsequenz .;Das ist kein zufällige Konstellation , sondern das_gf ist_gf Konsequenz .;Das ist kein zufällige Konstellation , sondern Konsequenz .;
27;"(s99541_VROOT($LPar "")(SIMPX(VF-3p(NX-ON-np*(PDS-np* Die)))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis kommen)))(MF(PX(APPR-d mit)(NX-HD(NX-KONJ-dsf(NN-dsf Zeit))(KON und)(NX-KONJ-dsf(NN-dsf Ruhe))))(ADVX(PTKNEG nicht)))(VC(PTKVZ klar)))($. .)($RPar ""))";1;0;0;0;0;1;0;k;NP Koord PP;""" Die kommen mit Zeit und Ruhe nicht klar . """;""" Die kommen mit Zeit und Ruhe nicht klar . """;""" Die kommen mit Zeit und Ruhe nicht klar . """;;
28;"(s100977_VROOT(SIMPX(VF(NX-OA($LPar "")(NX-KONJ-np*(NN-np* Hindu))($, ,)(NX-KONJ-nsn(NN-nsn Hindi))($, ,)(NX-KONJ-nsn(NE-nsn Hindusthan))($RPar "")))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis lautet)))(MF-3s(NX-ON-nsf(ART-nsf die)(NN-nsf Parole))))($. .))";1;0;0;0;0;1;0;k;NP Koord Pred;""" Hindu , Hindi , Hindusthan "" lautet die Parole .";""" Hindu , Hindi , Hindusthan "" lautet die Parole .";""" Hindu , Hindi , Hindusthan "" lautet die Parole .";;
29;"(s104212_VROOT(SIMPX(VF(ADVX(ADV gleich)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis brüllt)))(MF-3s(ADVX(ADV noch))(NX-ON-ns*(PIS-ns* jemand)))(VC-VVINF(VVINF-HD($LPar "")(VVINF-KONJ(VVINF ausziehen))($, ,)(VVINF-KONJ(VVINF ausziehen))($RPar ""))))($. !))";1;0;0;0;0;1;0;k;Wiederholung;"gleich brüllt noch jemand "" ausziehen , ausziehen "" !";"gleich brüllt noch jemand "" ausziehen , ausziehen "" !";"gleich brüllt noch jemand "" ausziehen , ausziehen "" !";;
30;(s100557_VROOT(SIMPX(VF(NX-OA(NX-KONJ-asf(NN-asf Kunst))(KON und)(NX-KONJ-asm(NN-asm Fußball))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis verbindet)))(MF-3s(NX-ON(NX-HD-nsn(ART-nsn das)(NN-nsn Stadion))(NX-gsf(ART-gsf der)(NN-gsf Freundschaft)))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Kunst und Fußball verbindet das Stadion der Freundschaft .;Kunst und Fußball verbindet das Stadion der Freundschaft .;Kunst und Fußball verbindet das Stadion der Freundschaft .;;
31;(s99588_VROOT(SIMPX(VF-3s(NX-ON-nsf(ART-nsf Die)(NN-nsf Unternehmensleitung)))(LKFKOORD(LK-KONJ-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit verstand)))(KON und)(LKFKONJ-KONJ(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit reagierte)))(MF(ADJX(ADJD umgehend))))))($. .));1;1;1;0;0;0;0;b+f/f;f;Die Unternehmensleitung verstand und reagierte umgehend .;Die Unternehmensleitung verstand umgehend_bcr und die_f Unternehmensleitung_f reagierte umgehend .;Die Unternehmensleitung verstand umgehend_bcr und die_f Unternehmensleitung_f reagierte umgehend .;Die Unternehmensleitung verstand und die_f Unternehmensleitung_f reagierte umgehend .;
32;"(s100949_VROOT(SIMPX(VF(ADJX(ADJD Ständig)))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis wachsen)))(MF-3p(NX-ON(NX-KONJ-npf(NN-npf Militärausgaben))(KON und)(NX-KONJ-nsf(NN-nsf Armeestärke)))(PX(APPR-d in)(NX-HD-dpn(PDAT-dpn diesen)(NN-dpn Ländern)))))($. ;))";1;0;0;0;0;1;0;k;NP Koord SB;"Ständig wachsen Militärausgaben und Armeestärke in diesen Ländern ;";"Ständig wachsen Militärausgaben und Armeestärke in diesen Ländern ;";"Ständig wachsen Militärausgaben und Armeestärke in diesen Ländern ;";;
33;(s103185_VROOT(SIMPX(SIMPX-KONJ(VF-3p(NX-ON-npm(ART-npm Die)(NN-npm Männer)))(LK-VAFIN-3pit(VAFIN-HD-3pit(VAFIN-3pit waren)))(VC-VVPP(VVPP-OV(VVPP verletzt))))($, ,)(SIMPX-KONJ(VF-3p(NX-ON-npf(ART-npf die)(NN-npf Frauen)))(MF(ADVX(PTKNEG nicht)))))($. .));1;0;0;1;0;0;0;g;LDG;Die Männer waren verletzt , die Frauen nicht .;Die Männer waren verletzt , die Frauen waren_g nicht verletzt_g .;Die Männer waren verletzt , die Frauen waren_g nicht verletzt_g .;;
34;(s103314_VROOT(SIMPX(VF(ADJX(ADVX(ADV Sehr))(ADJD schlecht)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF-3s(NX-ON-nsf(ART-nsf die)(NN-nsf TB-Kontrolle))(PX(APPR-d in)(NX-HD(NX-KONJ-dsn(NE-dsn Indien))(KON und)(NX-KONJ-dsn(NE-dsn Pakistan))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Sehr schlecht ist die TB-Kontrolle in Indien und Pakistan .;Sehr schlecht ist die TB-Kontrolle in Indien und Pakistan .;Sehr schlecht ist die TB-Kontrolle in Indien und Pakistan .;;
35;(s103776_VROOT(SIMPX(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis wird)))(MF(ADVX(ADV dann))(PX(APPR-a in)(NX-HD-asf(ART-asf die)(NN-asf Drehbuchhandlung))))(VC-TRUNC(TRUNC-OV(TRUNC-KONJ(TRUNC mitaufgenom))(VVPP-KONJ(VVPP men))))));1;0;0;0;0;0;1;-;???;Das wird dann in die Drehbuchhandlung mitaufgenom men;Das wird dann in die Drehbuchhandlung mitaufgenom men;Das wird dann in die Drehbuchhandlung mitaufgenom men;;
36;(s103613_VROOT(SIMPX(VF-3s(NX-ON(NX-KONJ(NX-APP-nsm(PPOSAT-nsm Sein)(NN-nsm Arbeitskollege))(NX-APP-nsm(NE-nsm Nick)))(KON und)(NX-KONJ-ns*1(PPER-ns*1 ich))))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis stimmen)))(MF(NX-OD-dsm3(PPER-dsm3 ihm)))(VC(PTKVZ zu)))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Sein Arbeitskollege Nick und ich stimmen ihm zu .;Sein Arbeitskollege Nick und ich stimmen ihm zu .;Sein Arbeitskollege Nick und ich stimmen ihm zu .;;
37;(s101501_VROOT(SIMPX(VF(NX-ON(NX-HD(ART-np* Die)(FM mpamampy))(PX(PROP dagegen))))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(MF(NX-PRED(NX-HD-npf(NN-npf Haushaltshilfen))($, ,)(NX(NX-KONJ-npm(NN-npm Jungen))(KON oder)(NX-KONJ-npn(NN-npn Mädchen))))))($. .));1;0;0;0;0;1;0;k;NP Koord in Apposition?;Die mpamampy dagegen sind Haushaltshilfen , Jungen oder Mädchen .;Die mpamampy dagegen sind Haushaltshilfen , Jungen oder Mädchen .;Die mpamampy dagegen sind Haushaltshilfen , Jungen oder Mädchen .;;
38;(s100586_VROOT(SIMPX(VF-3s(NX-ON-nsf(ART-nsf Die)(NN-nsf Lohnfortzahlung)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF(NX-OA(ADVX(ADV eher))(NX-KONJ(ADJX-asf(ADJA-asf symbolische)))(KON als)(NX-KONJ-asf(ADJX-asf(ADJA-asf reale))(NN-asf Bedeutung)))))($. .));1;0;0;0;0;0;1;-;Vergleich;Die Lohnfortzahlung hat eher symbolische als reale Bedeutung .;Die Lohnfortzahlung hat eher symbolische als reale Bedeutung .;Die Lohnfortzahlung hat eher symbolische als reale Bedeutung .;;
39;(s103467_VROOT(SIMPX(SIMPX-KONJ(MF(ADVX(ADVX(ADV Noch))(ADV einmal))(PX(APPR-a in)(NX-HD-asf(ART-asf die)(NN-asf Kiste))))(VC-VVINF(VVINF-HD(VVINF steigen))))(KON und)(SIMPX-KONJ(MF(NX-OA-asf(ART-asf die)(NN-asf Sonne)))(VC-VVINF(VVINF-HD(VVINF grüßen)))))($. .));1;0;1;0;0;0;0;f?;f;Noch einmal in die Kiste steigen und die Sonne grüßen .;Noch einmal in die Kiste steigen und noch_f die Sonne grüßen .;Noch einmal in die Kiste steigen und noch_f einmal_f die Sonne grüßen .;Noch einmal in die Kiste steigen und noch_f die Sonne grüßen .;
40;(s102460_VROOT(SIMPX(VF(ADVX(ADV Heute)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF-3s(NX-ON-nsm3(PPER-nsm3 er))(NX-PRED(PPOSAT-nsm sein)(NX-HD(NX-KONJ-nsm(NN-nsm Wahlkampfleiter))(KON und)(NX-KONJ-nsm(ADJX-nsm(ADJA-nsm engster))(NN-nsm Berater))))))($. .));1;0;1;0;0;1;0;f/k;"NP Koord (NX-KONJ-nsm); FCR exceptional if sein is borrowed???";Heute ist er sein Wahlkampfleiter und engster Berater .;Heute ist er sein Wahlkampfleiter und engster Berater .;Heute ist er sein Wahlkampfleiter und heute_f ist_f er_f sein_f engster Berater .;Heute ist er sein Wahlkampfleiter und engster Berater .;
41;(s103382_VROOT(SIMPX(VF-3s(NX-ON-nsm(NE-nsm Vieira)))(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit erhielt)))(MF(NX-OA-asm(ADJX-asm(ADJA-asm militärischen))(NN-asm Beistand))(PX(APPR-d von)(NX-HD(NX-KONJ-dsm(NE-dsm Senegal))(KON und)(NX-KONJ-dsn(NE-dsn Guinea))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Vieira erhielt militärischen Beistand von Senegal und Guinea .;Vieira erhielt militärischen Beistand von Senegal und Guinea .;Vieira erhielt militärischen Beistand von Senegal und Guinea .;;
42;(s99754_VROOT(SIMPX(VF(ADVX(ADV So)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis läßt)))(MF-3s(NX-ON-nsm3(PPER-nsm3 er))(NX-OA-apm(PPOSAT-apm seine)(NN-apm Akteure))(ADVX(ADV auch)))(VC-VVINF(VVINF-OV(VVINF-KONJ(VVINF singen))(KON und)(VVINF-KONJ(VVINF tanzen)))))($. .));1;0;1;1;0;0;0;fg;fg, VVINF Koordination;So läßt er seine Akteure auch singen und tanzen .;So läßt er seine Akteure auch singen und so_f läßt_f er_f seine_f Akteure_f auch_f tanzen .;So läßt er seine Akteure auch singen und so_fg läßt_fg er_fg seine_fg Akteure_fg auch_fg tanzen .;;
43;"(s103811_VROOT(SIMPXINT(VF(PX(PWAV Woher)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis kommt)))(MF-3s(NX-ON(NX-APP-nsm(ART-nsm der)(NN-nsm Begriff))(NX-APP(NX-KONJ-nsf($LPar "")(NN-nsf Zimtzicke)($RPar ""))(KON bzw.)(NX-KONJ-nsf($LPar "")(NN-nsf Zimtziege)($RPar ""))))))($QM ?))";1;0;0;0;0;1;0;k;NP Koord SB;"Woher kommt der Begriff "" Zimtzicke "" bzw. "" Zimtziege "" ?";"Woher kommt der Begriff "" Zimtzicke "" bzw. "" Zimtziege "" ?";"Woher kommt der Begriff "" Zimtzicke "" bzw. "" Zimtziege "" ?";;
