Sent_no;Original sentence;Comments;Canonical form;gold2 (LCO);General order of re-inspection;FCR;Gapping;FG;BCR;SGF;Sentence Length
s11349;Hier wird nicht er- sondern gefunden . ;bcr below word level;Hier wird nicht er-funden_b sondern hier_fg wird_fg gefunden . ;Hier wird nicht er- sondern gefunden . ;interesting/edge case;0;0;1;1;0;7
s36095;Blätter spenden Sauerstoff , der hörbar ein- und ausgeatmet wird . ;bcr below wordlevel;Blätter spenden Sauerstoff , der hörbar ein- geatmet_b wird_b und der_f hörbar_f ausgeatmet wird . ;Blätter spenden Sauerstoff , der hörbar ein- und ausgeatmet wird . ;interesting/edge case;1;0;0;1;0;11
s2672;Erst in größeren Abständen , dann folgten die Schläge immer schneller aufeinander und wurden immer stärker . ;BCR for one element problematic???;Erst in größeren Abständen folgten_b die_b Schläge_b immer_b schneller_b aufeinander_b  , dann folgten die Schläge immer schneller aufeinander und die_s Schläge_s wurden immer stärker . ;Erst in größeren Abständen  , dann folgten die Schläge immer schneller aufeinander und die_s Schläge_s wurden immer stärker . ;interesting/edge case;0;0;0;1;1;17
s8538;Ebenso spricht für einen aufgeweckten Rechtsstaat , daß die Beurteilung einer früheren Richtertätigkeit im Einzelfall zu treffen und individuell begründet werden muß . ;Bcr ging schief!!!;Ebenso spricht für einen aufgeweckten Rechtsstaat , daß die Beurteilung einer früheren Richtertätigkeit im Einzelfall zu treffen werden_b muß_b und daß_f die_f Beurteilung_f einer_f früheren_f Richtertätigkeit_f  individuell begründet werden muß . ;;interesting/edge case;1;0;0;1;0;23
s22883;`` Die Bundesrepublik muß sich entscheiden , ob sie einen Demokratisierungsprozeß aktiv gestalten will oder ein Prinzip der Ungleichheit tolerien will , mit all den gesellschaftlichen Konsequenzen , die daraus resultieren . '' ;bcr/gapping not maximum??;`` Die Bundesrepublik muß sich entscheiden , ob sie einen Demokratisierungsprozeß aktiv gestalten will oder ob_f sie_f ein Prinzip der Ungleichheit tolerien will , mit all den gesellschaftlichen Konsequenzen , die daraus resultieren . '' ;;interesting/edge case;1;0;0;0;0;33
s20945;Die Palästinenser bestanden darauf , daß sie mit Schnellfeuergewehren ausgerüstet sein sollten und diese schon auf ihrem Anreiseweg von Jericho nach Dschenin mit sich führen sollten . ;bcr/gapping not maximum??;Die Palästinenser bestanden darauf , daß sie mit Schnellfeuergewehren ausgerüstet sein sollten und daß_f sie_f diese schon auf ihrem Anreiseweg von Jericho nach Dschenin mit sich führen sollten . ;;interesting/edge case;1;0;0;0;0;27
s29715;Eine Fluggesellschaft hatte sie verklagt , weil sie im Juni 1993 einen Privatjet gechartert hatte , aber die Rechnung von mehr als 21 000 Mark nicht bezahlt hatte . ;bcr/gapping not maximum??;Eine Fluggesellschaft hatte sie verklagt , weil sie im Juni 1993 einen Privatjet gechartert hatte , weil_f sie_f  aber die Rechnung von mehr als 21 000 Mark nicht bezahlt hatte . ;Eine Fluggesellschaft hatte sie verklagt , weil sie im Juni 1993 einen Privatjet gechartert hatte , weil_f sie_f im_f Juni_f 1993_f aber die Rechnung von mehr als 21 000 Mark nicht bezahlt hatte . ;interesting/edge case;1;0;0;0;0;29
s32902;In Zeiten der Repression , wo jedes Wort eine Anspielung enthalten konnte oder auch nicht , ist jeder , der überleben will , zu verschleiernden Äußerungen veranlaßt . ;better transform to keine Anspielung;In Zeiten der Repression , wo jedes Wort eine Anspielung enthalten konnte oder in_g Zeiten_g der_g Repression_g ,_g wo_g jedes_g Wort_g  auch nicht eine_g Anspielung_g enthalten_g konnte_g , ist jeder , der überleben will , zu verschleiernden Äußerungen veranlaßt . ;;interesting/edge case;0;1;0;0;0;28
s22228;Sensoren messen Richtung und Geschwindigkeit des Balls , berechnen und zeigen die neue Position im Media-Land an . ;brc über an hinweg;Sensoren messen Richtung und Geschwindigkeit des Balls , Sensoren_f berechnen die_b  neue_b  Position_b  im_b  Media-Land_b  und Sensoren_f  zeigen die neue Position im Media-Land an . ;;interesting/edge case;1;0;0;1;0;18
s18682;Es brachte den SPD-Wirtschaftssprecher um seinen Job und der Öffentlichkeit eine heftige Debatte über die Alternativen in der Wirtschaftspolitik . ;bringen OA/um ...;Es brachte den SPD-Wirtschaftssprecher um seinen Job und es_fg brachte_fg der Öffentlichkeit eine heftige Debatte über die Alternativen in der Wirtschaftspolitik . ;;interesting/edge case;0;0;1;0;0;20
s9751;Daß eine Mehrheit der Delegierten des Parteitages der lokalen SPD sie nächstens nicht mehr als Chefin des Kulturamtes sehen will , ist tatsächlich , wie Reisch bemerkt hat , nicht ihr persönliches , sondern in erster Linie ein Problem der Partei . ;can one analyse ihr persöniches ... as NP???;Daß eine Mehrheit der Delegierten des Parteitages der lokalen SPD sie nächstens nicht mehr als Chefin des Kulturamtes sehen will , ist tatsächlich , wie Reisch bemerkt hat , nicht ihr persönliches Problem_b , sondern daß_fg eine_fg Mehrheit_fg der_fg Delegierten_fg des_fg Parteitages_fg der_fg lokalen_fg SPD_fg sie_fg nächstens_fg nicht_fg mehr_fg als_fg Chefin_fg des_fg Kulturamtes_fg sehen_fg will_fg ,_fg ist_fg  ist_fg in erster Linie ein Problem der Partei . ;;interesting/edge case;0;0;1;1;0;42
s48597;Ja , ich weiß nicht , ob gar unsere irdische Welt mit geringerem Schaden die Sonne , also ihr Lebensprinzip , entbehren könnte als die Leitung der staatlichen Angelegenheiten die Geschichte . ;comparison;Ja , ich weiß nicht , ob gar unsere irdische Welt mit geringerem Schaden die Sonne , also ihr Lebensprinzip , entbehren könnte als gar_g unsere_g irdische_g Welt_g mit_g geringerem_g Schaden_g die Leitung der staatlichen Angelegenheiten die Geschichte entbehren_g könnte_g . ;;interesting/edge case;0;1;0;0;0;32
s41861;Das Anzeigengeschäft trug dazu 36 Prozent bei , aus dem Vertrieb kamen 34 Prozent und dem Druck 21 Prozent herein . ;cut into constituent;Das Anzeigengeschäft trug dazu 36 Prozent bei , aus dem Vertrieb kamen 34 Prozent herein_b und aus_g dem Druck 21 Prozent kamen_g herein . ;;interesting/edge case;0;1;0;1;0;21
s36942;Die Investitionen sanken dort um 1,2 Prozent , während das Minus im öffentlichen Bau 3,9 und im Wirtschaftsbau 3,7 Prozent erreicht habe . ;Cut into constituent;Die Investitionen sanken dort um 1,2 Prozent , während das Minus im öffentlichen Bau 3,9 erreicht_b habe_b und während_f das_f Minus_f im Wirtschaftsbau 3,7 Prozent erreicht habe . ;;interesting/edge case;1;0;0;1;0;23
s21807;Auwälder dienen dem Hochwasserschutz und als Dschungel-Ersatz / ;dienen dem/als;Auwälder dienen dem Hochwasserschutz und Auwälder_f dienen_f als Dschungel-Ersatz / ;;interesting/edge case;1;0;0;0;0;8
s10997;Wir atmen beim Lachen tiefer , inhalieren mehr Sauerstoff , und unser Körper schüttet Endorphin aus , das körpereigene Glückshormon . ;"dislocated apposition ""das körpereigene G.""";Wir atmen beim Lachen tiefer , wir_f inhalieren mehr Sauerstoff , und unser Körper schüttet Endorphin aus , unser_g Körper_g schüttet_g das körpereigene Glückshormon aus_g . ;Wir atmen beim Lachen tiefer , inhalieren mehr Sauerstoff , und unser Körper schüttet Endorphin aus , das körpereigene Glückshormon . ;interesting/edge case;1;1;0;0;0;21
s26954;Sie entwickelt und druckt Verpackungen und Etiketten . ;double CCE -gold3;Sie entwickelt Verpackungen_b und_b Etiketten_b und sie_f druckt Verpackungen und Etiketten . ;Sie entwickelt und druckt Verpackungen und Etiketten . ;interesting/edge case;1;0;0;1;0;8
s48026;Es gibt keinen Staat jenseits von Suez , der zuerst so von Europa bevormundet und später von den USA gegängelt worden ist wie die Philippinen . ;eigentlich hätte man gerne das so;Es gibt keinen Staat jenseits von Suez , der zuerst so von Europa bevormundet worden_b ist_b wie_b die_b Philippinen_b und der_f später von den USA gegängelt worden ist wie die Philippinen . ;;interesting/edge case;1;0;0;1;0;26
s36033;Die Prinzessin erzählt im Fernsehen ihre Befindlichkeit und vielleicht auch von Männern ;erzählt OA/von ...;Die Prinzessin erzählt im Fernsehen ihre Befindlichkeit und die_fg Prinzessin_fg erzählt_fg vielleicht auch von Männern ;;interesting/edge case;0;0;1;0;0;12
s38909;Denn für die rund sieben Millionen Pfister-Brote , die in 34 Sorten die Öfen verlassen und heute als Bio etikettiert werden können , mußte erst einmal das Getreide angepflanzt werden . ;example for ambiguity;Denn für die rund sieben Millionen Pfister-Brote , die in 34 Sorten die Öfen verlassen  und die_f heute als Bio etikettiert werden können , mußte erst einmal das Getreide angepflanzt werden . ;Denn für die rund sieben Millionen Pfister-Brote , die in 34 Sorten die Öfen verlassen können_b und die_f heute als Bio etikettiert werden können , mußte erst einmal das Getreide angepflanzt werden . ;interesting/edge case;1;0;0;0;0;31
s48416;`` Dank der Bemühungen der im Jahr 1989 entstandenen Gesellschaft der Verehrer Josef von Eichendorff herrscht um das Schloß herum und der berühmten Allee , Ordnung und ist für die Gesellschaft wieder zugänglich . '' ;"falsch???; encodings do not work for ""um der berühmten Allee herum""; SB ist ... can't be reconstructed";`` Dank der Bemühungen der im Jahr 1989 entstandenen Gesellschaft der Verehrer Josef von Eichendorff herrscht um das Schloß herum und um_f der berühmten Allee herum_? , Ordnung und Ordnung_s ist für die Gesellschaft wieder zugänglich . '' ;;interesting/edge case;1;0;0;0;1;35
s29183;Die Szene : ein grauer , nasser Sonntagnachmittag im November , der Direktor des Burgtheaters , bald länger im Amt als außer Heinrich Laube irgendeiner seiner Vorgänger in der 250jährigen Geschichte dieses Theaters , am Schreibtisch in seinem sonst kaum möblierten Büro , eines der beiden Fenster geht auf den Volksgarten und dahinter den `` Heldenplatz '' , am Boden eine Schale mit roten Rosen . ;fcr  gapping cuts into PP;Die Szene : ein grauer , nasser Sonntagnachmittag im November , der Direktor des Burgtheaters , bald länger im Amt als außer Heinrich Laube irgendeiner seiner Vorgänger in der 250jährigen Geschichte dieses Theaters , am Schreibtisch in seinem sonst kaum möblierten Büro , eines der beiden Fenster geht auf den Volksgarten und eines_fg der_fg beiden_fg Fenster_fg geht_fg auf_fg dahinter den `` Heldenplatz '' , am Boden eine Schale mit roten Rosen . ;;interesting/edge case;0;0;1;0;0;66
s36216;In China hatte sich Kohl vor Gunstbeweisen überschlagen , sich sogar den Bückling eines Kasernenbesuches bei der seit dem Pekinger Massaker in Verruf geratenen Armee abgerungen . ;fcr ignoring sich;In China hatte sich Kohl vor Gunstbeweisen überschlagen , in_fg China_fg hatte_fg Kohl_fg sich sogar den Bückling eines Kasernenbesuches bei der seit dem Pekinger Massaker in Verruf geratenen Armee abgerungen . ;;interesting/edge case;0;0;1;0;0;27
s40007;Nach drastischem Personalabbbau im Inland will sich das Traditionsunternehmen mit einem neuen Werbeauftritt ein junges Image verpassen und die Profite steigern . ;fcr ignoring sich;Nach drastischem Personalabbbau im Inland will sich das Traditionsunternehmen mit einem neuen Werbeauftritt ein junges Image verpassen und nach_fg drastischem_fg Personalabbbau_fg im_fg Inland_fg will_fg das_fg Traditionsunternehmen_fg die Profite steigern . ;;interesting/edge case;0;0;1;0;0;22
s15220;Als Auflösung des Arbeitsvertrages müßten auch Vereinbarungen verstanden werden , in denen sich der Arbeitnehmer ( etwa gegen Zahlungen ) mit einer Kündigung einverstanden erklärt und deshalb `` am Ende des Beschäftigungsverhältnisses mitwirkt '' . ;fcr ignoring sich ;Als Auflösung des Arbeitsvertrages müßten auch Vereinbarungen verstanden werden , in denen sich der Arbeitnehmer ( etwa gegen Zahlungen ) mit einer Kündigung einverstanden erklärt und in_f denen_f  der_f Arbeitnehmer_f  deshalb `` am Ende des Beschäftigungsverhältnisses mitwirkt '' . ;;interesting/edge case;1;0;0;0;0;35
s38666;Damit gab er den Ton auf der Geburtstagsparty vor , auf der sich kritische Stimmen nur gelegentlich erhoben und eher zaghaft klangen , selbstkritische aber überhaupt nicht zu hören waren . ;fcr ignoring sich ;Damit gab er den Ton auf der Geburtstagsparty vor , auf der sich kritische Stimmen nur gelegentlich erhoben und auf_f der_f   kritische_f Stimmen_f eher zaghaft klangen , auf_f der_f  selbstkritische aber überhaupt nicht zu hören waren . ;;interesting/edge case;1;0;0;0;0;31
s14481;Daran bestehen aber gerade deswegen Zweifel , weil sich die Äußerungen ihrem Wortlaut nach nicht auf bestimmte Personen bezogen , sondern unterschiedslos alle Soldaten erfaßten . ;fcr ignoring sich ;Daran bestehen aber gerade deswegen Zweifel , weil sich die Äußerungen ihrem Wortlaut nach nicht auf bestimmte Personen bezogen , sondern weil_f die_f Äußerungen_f  unterschiedslos alle Soldaten erfaßten . ;;interesting/edge case;1;0;0;0;0;26
s29873;Erfreulich auch , weil sich Hussein selber treu geblieben ist und den anbiedernden Versuch , um seine Person einen Kult zu entwickeln , zurückgewiesen hat . ;fcr ignoring sich ;Erfreulich auch , weil sich Hussein selber treu geblieben ist und weil_f Hussein_f den anbiedernden Versuch , um seine Person einen Kult zu entwickeln , zurückgewiesen hat . ;;interesting/edge case;1;0;0;0;0;26
s48101;Kaum hatten sich die nationalistischen Kräfte formiert und Spanien fast vor die Tür gesetzt , da übernahm Uncle Sam die Macht im Lande , spielte sich als Entwicklungshelfer auf und nannte die Filipinos `` kleine braune Brüder '' . ;fcr ignoring sich ;Kaum hatten sich die nationalistischen Kräfte formiert und kaum_fg hatten_fg die_fg nationalistischen_fg Kräfte_fg Spanien fast vor die Tür gesetzt , da übernahm Uncle Sam die Macht im Lande , Uncle_s Sam_s spielte sich als Entwicklungshelfer auf und Uncle_f Sam_f nannte die Filipinos `` kleine braune Brüder '' . ;;interesting/edge case;1;0;1;0;1;39
s17745;Man denke nur an die Auseinandersetzungen in der CDU zwischen Helmut Kohl , Heiner Geißler , Rita Süssmuth und Lothar Späth , die sich Mitte der achtziger Jahre zuspitzten und zum Bruch führten . ;fcr ignoring sich ;Man denke nur an die Auseinandersetzungen in der CDU zwischen Helmut Kohl , Heiner Geißler , Rita Süssmuth und Lothar Späth , die sich Mitte der achtziger Jahre zuspitzten und die_f Mitte_f der_f achtziger_f Jahre_f zum Bruch führten . ;;interesting/edge case;1;0;0;0;0;34
s6057;Nicht zu vergessen bleibt , wie sich Yun in jungen Jahren von Korea weg auf Japan zubewegt hatte , in Osaka und Tokio studierte , immer aber zugleich dem politischen Untergrund näherstand als dem sich repräsentativ gebenden Tageslichter . ;fcr ignoring sich ;Nicht zu vergessen bleibt , wie sich Yun in jungen Jahren von Korea weg auf Japan zubewegt hatte , wie_f Yun_f in Osaka und Tokio studierte , wie_f Yun_f  immer aber zugleich dem politischen Untergrund näherstand als dem sich repräsentativ gebenden Tageslichter . ;;interesting/edge case;1;0;0;0;0;39
s26829;Schwerstbehinderte , die meist unter großen Erschwernissen nach Düsseldorf gekommen waren , reagierten aber besonders befremdet darüber , daß sich Kohl auch nicht von einem Minister vertreten ließ , sondern einen `` drittrangigen Staatssekretär '' schickte . ;fcr ignoring sich ;Schwerstbehinderte , die meist unter großen Erschwernissen nach Düsseldorf gekommen waren , reagierten aber besonders befremdet darüber , daß sich Kohl auch nicht von einem Minister vertreten ließ , sondern  daß_f Kohl_f einen `` drittrangigen Staatssekretär '' schickte . ;;interesting/edge case;1;0;0;0;0;37
s35061;Sollen sich die Gewerkschaften abschotten , einigeln , nur Gegenmacht sein ? ;fcr ignoring sich ;Sollen sich die Gewerkschaften abschotten , sollen_fg sich_fg die_fg Gewerkschaften_fg einigeln , sollen_g die_g Gewerkschaften_g nur Gegenmacht sein ? ;Sollen sich die Gewerkschaften abschotten , einigeln , nur Gegenmacht sein ? ;interesting/edge case;0;1;1;0;0;12
s9128;Tests haben ergeben , daß sich Weiß davon am besten abhebt und von Autofahrern am ehesten gesehen wird '' , erklärt Bruno Frangi von der Gruppe für Rüstungsdienste in Bern die Farbwahl . ;fcr ignoring sich ;Tests haben ergeben , daß sich Weiß davon am besten abhebt und daß_f Weiß_f von Autofahrern am ehesten gesehen wird '' , erklärt Bruno Frangi von der Gruppe für Rüstungsdienste in Bern die Farbwahl . ;;interesting/edge case;1;0;0;0;0;33
s45480;In den USA hat sich ein neun Jahre altes Mädchen erfolgreich als Geburtshelferin betätigt und geholfen , seinen kleinen Bruder zur Welt zu bringen . ;fcr ignoring sich or gapping ignoring sich??? ;In den USA hat sich ein neun Jahre altes Mädchen erfolgreich als Geburtshelferin betätigt und in_fg  den_fg  USA_fg  hat_fg  ein_fg  neun_fg  Jahre_fg  altes_fg  Mädchen_fg   geholfen , seinen kleinen Bruder zur Welt zu bringen . ;;interesting/edge case;0;0;1;0;0;25
s6043;Offenbar , weil sich der Verstand des Schülers nicht rasch wie eine Konservendose öffnen läßt , sondern Wachstum braucht : langfristig . ;fcr ignoring sich!!!;Offenbar , weil sich der Verstand des Schülers nicht rasch wie eine Konservendose öffnen läßt , sondern weil_f der_f Verstand_f  des_f Schülers_f Wachstum braucht : langfristig . ;;interesting/edge case;1;0;0;0;0;22
s11364;kaum wurden unsere Länder von der nationalsozialistischen Herrschaft befreit , wenngleich Sie dies als ein besiegter Staat und wir als ein Siegerstaat erlebten , fielen Sie ebenso wie wir der kommunistischen Herrschaft zum Opfer , unter der wir dann jahrzehntelang gezwungen waren zu leben . ;fcr ignoring Sie;kaum wurden unsere Länder von der nationalsozialistischen Herrschaft befreit , wenngleich Sie dies als ein besiegter Staat erlebten_b und wenngleich_f wir dies_f als ein Siegerstaat erlebten , fielen Sie ebenso wie wir der kommunistischen Herrschaft zum Opfer , unter der wir dann jahrzehntelang gezwungen waren zu leben . ;;interesting/edge case;1;0;0;1;0;45
s26447;Daß ich den Erzählfaden zerreiße statt ihn des besseren Verständnisses wegen zu verdichten , daß ich ambivalent erzähle , Wirklichkeit und Traum vermische , daß es auch eine religiöse Dimension gibt , all das trägt dazu bei , daß man den Film sehr unterschiedlich auffassen kann . ;fcr not maximum??;Daß ich den Erzählfaden zerreiße statt ihn des besseren Verständnisses wegen zu verdichten , daß ich ambivalent erzähle , daß_f ich_f Wirklichkeit und Traum vermische , daß es auch eine religiöse Dimension gibt , all das trägt dazu bei , daß man den Film sehr unterschiedlich auffassen kann . ;;interesting/edge case;1;0;0;0;0;47
s9539;Ich komme also auf Deinen ersten Kritikpunkt zurück , wo Du sagst und es in allen Tonlagen wiederholst : Du bist festgefahren , du steckst in der Klemme , gib 's zu , gestehe . ;fcr not maximum??;Ich komme also auf Deinen ersten Kritikpunkt zurück , wo Du sagst und wo_f Du_f es in allen Tonlagen wiederholst : Du bist festgefahren , du steckst in der Klemme , gib 's zu , gestehe . ;;interesting/edge case;1;0;0;0;0;35
s9520;Andererseits sagst Du mir , daß ich immer nur hinterhergelaufen bin , daß ich von Euren Giften koste und Euch das Blut aussauge , Euch , die Ihr die wahren Experimentatoren und Helden seid , während ich nur am Rand stehe , zuschaue und von Euch profitiere . ;fcr not possible here ;Andererseits sagst Du mir , daß ich immer nur hinterhergelaufen bin , daß ich von Euren Giften koste und daß_f ich_f Euch das Blut aussauge , daß_f ich_f Euch , die Ihr die wahren Experimentatoren und Helden seid , während ich nur am Rand stehe , zuschaue und daß_f ich_f von Euch profitiere . ;;interesting/edge case;1;0;0;0;0;48
s10;Nach einer Umfrage des Wirtschaftsmagazins Fortune unter den Bossen von 500 Großunternehmen wünschten im Mai nur elf Prozent `` Ross for President '' , während 78 Prozent sich für Bush und vier Prozent für Clinton aussprachen . ;fcr sich, obwohl nicht fronted;Nach einer Umfrage des Wirtschaftsmagazins Fortune unter den Bossen von 500 Großunternehmen wünschten im Mai nur elf Prozent `` Ross for President '' , während 78 Prozent sich für Bush aussprachen_b und während_f sich_f vier Prozent für Clinton aussprachen . ;;interesting/edge case;1;0;0;1;0;37
s40863;Die positiven Einflüsse der schwächeren Mark an den Devisenmärkten beziffert der Konzern mit 145 Millionen auf die Erlöse und 61 Millionen auf den Profit . ;fcr/gapping  cuts into constituent;Die positiven Einflüsse der schwächeren Mark an den Devisenmärkten beziffert der Konzern mit 145 Millionen auf die Erlöse und die_fg positiven_fg Einflüsse_fg der_fg schwächeren_fg Mark_fg an_fg den_fg Devisenmärkten_fg beziffert_fg der_fg Konzern_fg mit_fg 61 Millionen auf den Profit . ;;interesting/edge case;0;0;1;0;0;25
s7430;Opposition in der Koalition würde in den Augen der Bevölkerung den Eindruck eines abstoßenden Gezerres machen , eines Dauerstreits erwecken . ;fg cuts into constituent;Opposition in der Koalition würde in den Augen der Bevölkerung den Eindruck eines abstoßenden Gezerres machen , Opposition_fg in_fg der_fg Koalition_fg würde_fg in_fg den_fg Augen_fg der_fg Bevölkerung_fg den_fg Eindruck_fg eines Dauerstreits erwecken . ;;interesting/edge case;0;0;1;0;0;21
