Anita kennt jede Zeile , jedes Wort .	Anita kennt jede Zeile , Anita_f kennt_f jedes Wort .
Der Begriff blieb nicht haften , denn es gab kein Wir .	Der Begriff blieb nicht haften , denn es gab kein Wir haften_g .
Erkrankte Frauen würden stigmatisiert , Unverheiratete fänden keinen Mann .	Erkrankte Frauen würden stigmatisiert , Unverheiratete fänden keinen Mann stigmatisiert_g .
Was ist besser : Öfter billige Socken kaufen oder selten teure ?	Was ist besser : Öfter billige Socken kaufen oder öfter_f selten teure kaufen_g ?
Aber ich bin entschlossen , ich werde das Tuch anbehalten .	Aber ich bin entschlossen anbehalten_g , ich werde das Tuch anbehalten .
" Frauen müssen sich schieben lassen , nicht selbst bewerben . . "	" Frauen müssen sich schieben lassen , Frauen_f müssen_f nicht selbst bewerben . . "
" Sitze in der Mitte , da hast du die besten Überlebenschancen . "	" Sitze hast_g in der Mitte , da hast du die besten Überlebenschancen . "
Das ging nicht ohne Opfer , nicht ohne Verzicht , nicht ohne Schmerzen .	Das ging nicht ohne Opfer , das_f ging_f nicht ohne Verzicht , das_f ging_f nicht ohne Schmerzen .
Der fühlte sich als Bauernopfer und drohte mit " Enthüllungen " .	Der fühlte sich als Bauernopfer und der_f drohte mit " Enthüllungen " .
Ohne Freiheit keine soziale Gerechtigkeit , ohne Sozialpolitik kein fair funktionierender Wettbewerb .	Ohne Freiheit keine soziale Gerechtigkeit , ohne_f Freiheit_f ohne Sozialpolitik kein fair funktionierender Wettbewerb .
Zum Beispiel die letzten Tage blau machen oder das Ganze mit Galgenhumor nehmen .	Zum Beispiel die letzten Tage blau machen oder zum_f Beispiel_f das Ganze mit Galgenhumor nehmen .
Die Nettoneuverschuldung Japans beträgt 12 Prozent , erlaubt wären drei .	Die Nettoneuverschuldung Japans beträgt 12 Prozent erlaubt_g , erlaubt wären drei .
Parallel dazu erstellt der Rechner eine Teileliste und kalkuliert den Preis .	Parallel dazu erstellt der Rechner eine Teileliste und der_s Rechner_s kalkuliert den Preis .
Joey Fuller hingegen ist in Oakland geboren und zog nach Chicago .	Joey Fuller hingegen ist in Oakland geboren und Joey_f Fuller_f hingegen_f zog nach Chicago .
Inzwischen weigern sich mehr und mehr Geberländer , diese Nationen weiter zu unterstützen .	Inzwischen weigern sich mehr Geberländer_bcr und mehr Geberländer zu_g unterstützen_g , inzwischen_f diese Nationen weiter zu unterstützen .
Nun sollen alle mit nach draußen kommen und sich ihr Auto ansehen .	Nun sollen alle mit nach draußen kommen und nun_f sollen_f sich ihr Auto ansehen .
Hinein in den Flieger , repräsentiert , übernachtet , repräsentiert und wieder abgeflogen .	Hinein in den Flieger , repräsentiert , übernachtet , repräsentiert und hinein_f wieder abgeflogen .
Er sagt es Alfred ins Gesicht und zuckt mit den Achseln .	Er sagt es Alfred ins Gesicht und er_f zuckt mit den Achseln .
" Puttgarden , das war kein Bahnhof , das war ein Stammtisch . "	" Puttgarden , das war kein Bahnhof , Puttgarden_f ,_f das war ein Stammtisch . "
Verliebte sitzen immer noch in den Bäumen , Journalisten mit Laptop im Gras .	Verliebte sitzen immer noch in den Bäumen , Journalisten sitzen_g mit Laptop im Gras .
Er war etwa 23 Jahre alt und sah wie ein frecher Junge aus .	Er war etwa 23 Jahre alt und er_f sah wie ein frecher Junge aus .
Sie fegen den Tempel aus und versammeln sich zur ersten Andacht .	Sie fegen den Tempel aus und sie_f versammeln sich zur ersten Andacht .
Sie hat es geschafft , für einen Abend ist sie ganz oben .	Sie hat es geschafft , für einen Abend ist sie ganz oben geschafft_g .
Ich habe große Energie und werde für mein Theater offensiv werben .	Ich habe große Energie und ich_f werde für mein Theater offensiv werben .
meine Bekannte macht die Klappe vom Korb auf und wirft sie rein .	meine Bekannte macht die Klappe vom Korb auf und meine_f Bekannte_f wirft sie rein .
Was ja irgendwie anstehen würde , aber akut wohl doch nicht zu befürchten ist .	Was ja irgendwie anstehen würde , aber was_f akut wohl doch nicht zu befürchten ist .
Er zeigt auf die Kraterlandschaft , vergißt aber die unversehrten Ecken nicht .	Er zeigt auf die Kraterlandschaft , er_f vergißt aber die unversehrten Ecken nicht .
Aufträge gehen zunehmend an Konstruktionsbüros , Architekten werden immer weniger beschäftigt .	Aufträge gehen zunehmend an Konstruktionsbüros beschäftigt_g , Architekten werden immer weniger beschäftigt .
Mies van der Rohe hat Boxen gebaut , aber auch diese Boxen haben Gefühl .	Mies van der Rohe hat Boxen gebaut , aber auch diese Boxen haben Gefühl gebaut_g .
Alles was wichtig ist , wird eingescannt , der Festplatte einverleibt .	Alles was wichtig ist , wird eingescannt , alles_f was_f wichtig_f ist_f ,_f wird_f der Festplatte einverleibt .
Dann legte er sich noch mal zehn Minuten hin und war anschließend fit .	Dann legte er sich noch mal zehn Minuten hin und er_s war anschließend fit .
Die Vielfalt " der Schullandschaft " müsse gewahrt , der " Elternwille " respektiert werden .	Die Vielfalt " der Schullandschaft " müsse gewahrt werden_g , der " Elternwille " müsse_g respektiert werden .
Jedes Vorrundenspiel kostet sechs Mark , aber jeder Kick der deutschen Combo dagegen zehn .	Jedes Vorrundenspiel kostet sechs Mark , aber jeder Kick der deutschen Combo kostet_g dagegen zehn .
Ob das nun stimmt , was Vogts behauptet , oder nicht - geschenkt .	Ob das nun stimmt , was Vogts behauptet , oder was_f nicht - geschenkt .
Faule Kredite sollen abgeschrieben , insolvente Banken nicht länger staatlich gestützt werden .	Faule Kredite sollen abgeschrieben , faule_f Kredite_f sollen_f insolvente Banken nicht länger staatlich gestützt werden .
Denn die Quoten lassen die Kastenunterschiede fortbestehen und benachteiligen ihre Wählerschaft .	Denn die Quoten lassen die Kastenunterschiede fortbestehen und die_f Quoten_f benachteiligen ihre Wählerschaft .
Sie schätzen sie , verlangen nach ihr und bejubeln sie .	Sie schätzen sie , sie_f verlangen nach ihr und sie_f bejubeln sie .
Kiesler war Vorbild , jemand mit dem Mut und dem Willen , etwas auszuprobieren .	Kiesler war Vorbild mit_bcr dem_bcr Mut_bcr und_bcr dem_bcr Willen_bcr , jemand mit dem Mut und dem Willen auszuprobieren_g , etwas auszuprobieren .
Das haben sie geschafft und sie " How to Operate with a Blown Mind " genannt .	Das haben sie geschafft und das_f haben_f sie " How to Operate with a Blown Mind " genannt .
Der Süden kontrolliert alle Medien und hat viel mehr Kontakte zur Außenwelt .	Der Süden kontrolliert alle Medien und der_f Süden_f hat viel mehr Kontakte zur Außenwelt .
Alle Honoratioren der Gegend sind gekommen , auch aus Hannover sind Experten da .	Alle Honoratioren der Gegend sind gekommen , auch aus Hannover sind Experten da gekommen_g .
Schon deshalb lassen die meisten nicht gern Fremde in ihre Wohnung , Bekannte erst recht nicht .	Schon deshalb lassen die meisten nicht gern Fremde in ihre Wohnung , schon_f deshalb_f lassen_f Bekannte erst recht nicht .
Ich glaube , es wird genausoviel Trennung von Parlament und Bürger geben .	Ich glaube genausoviel_bcr Trennung_bcr von_bcr Parlament_bcr und_bcr Bürger_bcr geben_g , es wird genausoviel Trennung von Parlament und Bürger geben .
" Die Leute experimentieren mit allem , sie haben ja nichts zu verlieren . "	" Die Leute experimentieren mit allem zu_g verlieren_g , sie haben ja nichts zu verlieren . "
Sein Konzept ermöglichte das Wirtschaftswunder - und ist jetzt durch die Globalisierung gefährdet	Sein Konzept ermöglichte das Wirtschaftswunder - und sein_f Konzept_f ist jetzt durch die Globalisierung gefährdet
Kebap hingegen ist vergleichbar mit Saumagen $LP$ von den Punkten her $RP$ und deshalb erlaubt .	Kebap hingegen ist vergleichbar mit Saumagen $LP$ von den Punkten her $RP$ erlaubt_g und Kebap_f hingegen_f ist_f deshalb erlaubt .
Der Japaner ist klein und wieselflink , der Bulgare hinterhältig und der Engländer ständig besoffen .	Der Japaner ist klein und wieselflink , der Bulgare hinterhältig und der_f Bulgare_f der Engländer ständig besoffen .
Er reißt einen Schrank auf und zeigt anklagend auf die sorgfältig beschrifteten Stapel .	Er reißt einen Schrank auf und er_f zeigt anklagend auf die sorgfältig beschrifteten Stapel .
Der Plan war sorgfältig ausgearbeitet , jede Region hatte darin eine spezifische Funktion .	Der Plan war sorgfältig ausgearbeitet , jede Region hatte darin eine spezifische Funktion ausgearbeitet_g .
Ich hoffe , die Heuchelei Polen und den anderen Staaten gegenüber wird abnehmen .	Ich hoffe abnehmen_g , die Heuchelei Polen und den anderen Staaten gegenüber wird abnehmen .
Sie seien auf " Stimmenfang " und machten sich deshalb für die Einzelhändler stark .	Sie seien auf " Stimmenfang " und sie_f machten sich deshalb für die Einzelhändler stark .
Der Pole spielte lange in Frankreich und arbeitet seit 1993 als Trainer in Afrika .	Der Pole spielte lange in Frankreich und der_f Pole_f arbeitet seit 1993 als Trainer in Afrika .
Zunächst war da übermäßig vereinfacht und die ganze Eugenik über einen Kamm geschoren worden .	Zunächst war da übermäßig vereinfacht und zunächst_f war_f die ganze Eugenik über einen Kamm geschoren worden .
Mal rappt es auch gelangweilt , mal wird ein Funk-Riff durch den Fleischwolf gedreht .	Mal rappt es auch gelangweilt gedreht_g , mal wird ein Funk-Riff durch den Fleischwolf gedreht .
An der Struktur des Hauses darf nichts verändert , nur morsches Holz erneuert werden .	An der Struktur des Hauses darf nichts verändert , an_f der_f Struktur_f des_f Hauses_f darf_f nur morsches Holz erneuert werden .
Ein Bündel Mensch liegt sozialkritisch im Dreck und bejammert das Elend der Welt .	Ein Bündel Mensch liegt sozialkritisch im Dreck und ein_f Bündel_f Mensch_f bejammert das Elend der Welt .
Sie kommuniziert regelrecht mit dem Publikum , bezieht es in ihr Lied mit ein .	Sie kommuniziert regelrecht mit dem Publikum , sie_f bezieht es in ihr Lied mit ein .
Müller begann vor fünf Jahren damit , Codeinsaft zu mischen und gegen Rezept abzugeben .	Müller begann vor fünf Jahren damit , Codeinsaft zu mischen und gegen Rezept abzugeben zu_g mischen_g .
Er rief ein Walfestival ins Leben und verhalf der Farmarbeitergewerkschaft zum Durchbruch .	Er rief ein Walfestival ins Leben und er_f verhalf der Farmarbeitergewerkschaft zum Durchbruch .
Sie wollte uns warnen und hat genau diese prominente Situation dafür genutzt .	Sie wollte uns warnen und sie_f hat genau diese prominente Situation dafür genutzt .
China , Bangladesch und der Republik Kongo wird bescheinigt , gute Fortschritte erzielt zu haben .	China , Bangladesch und der Republik Kongo wird bescheinigt zu_g haben_g , gute Fortschritte erzielt zu haben .
Mein zweites Deutschlandbuch 1960 hieß " Die Bonner Demokratie " , nicht " Die Bonner Republik " .	Mein zweites Deutschlandbuch 1960 hieß " Die Bonner Demokratie " , mein_f zweites_f Deutschlandbuch_f 1960_f hieß_f nicht " Die Bonner Republik " .
Oakland ist die einzige Stadt , in der die Rassen und Völker wirklich zusammenleben .	Oakland ist die einzige Stadt , Oakland_f ist_f in der die Rassen und Völker wirklich zusammenleben .
Gleichmäßig hebt und senkt sich die Brust dieser etwa fünfzigjährigen Frau beim Ein- und Ausatmen .	Gleichmäßig hebt sich_bcr die_bcr Brust_bcr dieser_bcr etwa_bcr fünfzigjährigen_bcr Frau_bcr beim_bcr Ein-_bcr und_bcr Ausatmen_bcr und gleichmäßig_f senkt sich die Brust dieser etwa fünfzigjährigen Frau beim Ein- und Ausatmen .
Jedesmal geht das so , ob das große WM-Spiele sind oder bloß popelige Pressekonferenzen .	Jedesmal geht das so , ob das große WM-Spiele sind oder bloß geht_g popelige Pressekonferenzen das_g .
Heute müssen wir klüger sein als Bloch es war oder sein konnte .	Heute müssen wir klüger sein als Bloch es war oder als_f Bloch_f es_f sein konnte .
Ulrich Khuon tritt die Flimm-Nachfolge an und wird ab 2000 Intendant des Thalia Theaters	Ulrich Khuon tritt die Flimm-Nachfolge an und Ulrich_f Khuon_f wird ab 2000 Intendant des Thalia Theaters
Das liegt natürlich daran , daß sehr viel mehr Kurz- und Dokumentarfilme liefen als Spielfilme .	Das liegt natürlich daran liefen_g , daß sehr viel mehr Kurz- und Dokumentarfilme liefen als Spielfilme .
" Ich kenne schon die Rote Liste fast auswendig , habe aber nichts gefunden . "	" Ich kenne schon die Rote Liste fast auswendig gefunden_g , ich_f habe aber nichts gefunden . "
Er hat sich die entsprechenden Kompetenzen verschafft und koproduziert seine Platten selbst .	Er hat sich die entsprechenden Kompetenzen verschafft und er_f koproduziert seine Platten selbst .
Die Empfehlungen der WHO würden mißachtet , die Erfolgsquote bei der Behandlung sei armselig .	Die Empfehlungen der WHO würden mißachtet , die Erfolgsquote bei der Behandlung sei armselig mißachtet_g .
Besonders verletzlich ist er , wenn Exil , Fernsein von der Heimat und Fremdheit hinzukommen .	Besonders verletzlich ist er , wenn Exil , Fernsein von der Heimat und wenn_f Fremdheit hinzukommen .
Der Feminismus ist hier enger verbunden mit Ökoideologien , mit Technikfeindlichkeit und Skepsis gegenüber Wissenschaft .	Der Feminismus ist hier enger verbunden mit Ökoideologien , der_f Feminismus_f ist_f mit Technikfeindlichkeit und Skepsis gegenüber Wissenschaft verbunden_g .
" Das haben die verpennt , das zu melden , das ist wohl wahr . "	" Das haben die verpennt zu_g melden_g , das zu melden , das ist wohl wahr . "
Die Verteidiger bemängelten die Akteneinsicht im Vorfeld des Prozesses - und beantragten Verschiebung .	Die Verteidiger bemängelten die Akteneinsicht im Vorfeld des Prozesses - und die_f Verteidiger_f beantragten Verschiebung .
Deshalb werben nicht nur Uhrenhersteller so ; sondern : im Schaufenster sind Uhren ebenso dekoriert .	Deshalb werben nicht nur Uhrenhersteller so dekoriert_g ; sondern : im Schaufenster sind Uhren ebenso dekoriert .
Insgesamt waren am vergangenen Mittwoch drei Personen schwer und zahlreiche Demonstranten leicht verletzt worden .	Insgesamt waren am vergangenen Mittwoch drei Personen schwer und insgesamt_f waren_f am_f vergangenen_f Mittwoch_f zahlreiche Demonstranten leicht verletzt worden .
Es dient dem Verkauf von Kücheneinrichtungen und ist folglich wie ein Firmenprospekt aufgebaut .	Es dient dem Verkauf von Kücheneinrichtungen und es_f ist folglich wie ein Firmenprospekt aufgebaut .
Die BJS wurde umbenannt , seither trägt sie ihren heutigen Namen Bharatiya Janata Party .	Die BJS wurde umbenannt , seither trägt sie ihren heutigen Namen Bharatiya Janata Party umbenannt_g .
Die kamen mit gefälschten Rezepten oder bedrohten sie auf dem Weg zur Tiefgarage .	Die kamen mit gefälschten Rezepten oder die_f bedrohten sie auf dem Weg zur Tiefgarage .
Ich stehe vor dem Spiegel und kann das Tuch nicht mit meiner Eitelkeit vereinbaren .	Ich stehe vor dem Spiegel und ich_f kann das Tuch nicht mit meiner Eitelkeit vereinbaren .
Es ist nahezu unmöglich geworden , zwischen den Interessen der Forschung und des Marktes zu unterscheiden .	Es ist nahezu unmöglich geworden zu_g unterscheiden_g , es_f ist_f zwischen den Interessen der Forschung und des Marktes zu unterscheiden .
Jede Woche arbeitet er mit Ursula , Ulrike und den anderen daran , sein Chaos zu besiegen .	Jede Woche arbeitet er mit Ursula , Ulrike und den anderen daran zu_g besiegen_g , sein Chaos zu besiegen .
Strauß hört wieder hin , verdichtet Gehörtes und Erhörtes zu einem impressionistischen Gegenwartspanorama .	Strauß hört wieder hin , Strauß_f verdichtet Gehörtes und Erhörtes zu einem impressionistischen Gegenwartspanorama .
Sie hatte keine Papiere , erhielt keinen Lohn und schuftete tagelang , pausenlos ;	Sie hatte keine Papiere , sie_f erhielt keinen Lohn und sie_f schuftete tagelang , pausenlos ;
Vor allem war es ein sehr machistisches Kino , das hat sich sehr verändert .	Vor allem war es ein sehr machistisches Kino verändert_g , das hat sich sehr verändert .
In all diesen Filmen gibt es zärtliche Momente zwischen Männern , aber mit der Frau überhaupt nicht .	In all diesen Filmen gibt es zärtliche Momente zwischen Männern , aber mit der Frau gibt_g überhaupt nicht es_g zärtliche_g Momente_g zwischen_g Männern_g .
Männer wollen bloß saubere Konturen und geben sich mit der Rolle eines Gastes zufrieden .	Männer wollen bloß saubere Konturen und Männer_f geben sich mit der Rolle eines Gastes zufrieden .
Zuerst nannte man diese Gewächse in Berufskreisen hinter vorgehaltener Hand " Borsten " , später Bürsten .	Zuerst nannte man diese Gewächse in Berufskreisen hinter vorgehaltener Hand " Borsten " , zuerst_f nannte_f später Bürsten .
nicht auszudenken , wenn das Flugzeug gestohlen oder irgendwelche Raritätensammler Auspuffteile abmontieren würden .	nicht auszudenken , wenn das Flugzeug gestohlen oder wenn_f irgendwelche Raritätensammler Auspuffteile abmontieren würden .
Für mich ist es nicht mehr so schlimm , aber was sollen meine Söhne tun ?	Für mich ist es nicht mehr so schlimm tun_g , aber was sollen meine Söhne tun ?
Wer kann , flüchtet seitdem aus der Kampfzone zwischen der Provinzhauptstadt Ziguinchor und der Atlantikküste .	Wer kann seitdem_bcr aus_bcr der_bcr Kampfzone_bcr zwischen_bcr der_bcr Provinzhauptstadt_bcr Ziguinchor_bcr und_bcr der_bcr Atlantikküste_bcr , wer_f flüchtet seitdem aus der Kampfzone zwischen der Provinzhauptstadt Ziguinchor und der Atlantikküste .
Die Piloten einerseits wollen eine einheitliche Tarifstruktur auf hoher Ebene und keine Lohneinbußen gegen Aktienausgabe .	Die Piloten einerseits wollen eine einheitliche Tarifstruktur auf hoher Ebene und die_f Piloten_f einerseits_f wollen_f keine Lohneinbußen gegen Aktienausgabe .
Außerdem breche die Krankheit schneller aus , weil der Körper durch Schwangerschaft und Geburt geschwächt sei .	Außerdem breche die Krankheit schneller aus geschwächt_g , weil der Körper durch Schwangerschaft und Geburt geschwächt sei .
Sie sitzt immer noch tapfer auf dem Beyazit-Platz vor dem Universitätstor und füttert die Tauben .	Sie sitzt immer noch tapfer auf dem Beyazit-Platz vor dem Universitätstor und sie_f füttert die Tauben .
43 Prozent der Bevölkerung sind schwarz , 25 Prozent weiß , je 15 Prozent hispanisch und asiatisch .	43 Prozent der Bevölkerung sind schwarz , 25 Prozent weiß , 43_f Prozent_f der_f Bevölkerung_f sind_f je 15 Prozent hispanisch und asiatisch .
Auch als Einzelerscheinung kann ich Dinge entwickeln und auf Dauer gesehen Einfluß haben .	Auch als Einzelerscheinung kann ich Dinge entwickeln und auch_f als_f Einzelerscheinung_f kann_f auf Dauer gesehen Einfluß haben .
Zumindest die Vereinigten Staaten und Australien waren vorab informiert und bekundeten ihr Einverständnis .	Zumindest die Vereinigten Staaten und Australien waren vorab informiert und zumindest_f die_f Vereinigten_f Staaten_f und_f Australien_f bekundeten ihr Einverständnis .
Ich würde so etwas gern machen , doch auch dafür gibt es in Amerika keinen Markt .	Ich würde so etwas gern machen , doch auch dafür gibt es in Amerika keinen Markt machen_g .
Mal sinkt das Humorniveau ins Bodenlose , dann werden Blicke tief in blaue Augen versenkt .	Mal sinkt das Humorniveau ins Bodenlose versenkt_g , dann werden Blicke tief in blaue Augen versenkt .
Sie bestehen aus Tierdärmen , gefüllt mit zerkleinerten Büchern , Wasser , Fett , Gewürzen und Gelatine .	Sie bestehen aus Tierdärmen gefüllt_g , sie_f gefüllt mit zerkleinerten Büchern , Wasser , Fett , Gewürzen und Gelatine .
In diesem Moment war ihm Vogts' Dogma von der " sozialen Disziplin " schnurz und manches andere auch .	In diesem Moment war ihm Vogts' Dogma von der " sozialen Disziplin " schnurz und in_f diesem_f Moment_f war_f manches andere auch .
Das Gerücht ging um , sämtliche vom UNHCR Erfaßten würden deportiert und sofort erschossen .	Das Gerücht ging um , sämtliche vom UNHCR Erfaßten würden deportiert und sämtliche_f vom_f UNHCR_f Erfaßten_f würden_f sofort erschossen .
In den Wahlkampf wird sein Kandidat nicht eingreifen , er bleibt bis September zu Hause .	In den Wahlkampf wird sein Kandidat nicht eingreifen , er bleibt bis September zu Hause eingreifen_g .
An der Ecke Oppelner verkauft die Familie Kensbock " Papier & Spiele " , seit über 30 Jahren schon .	An der Ecke Oppelner verkauft die Familie Kensbock " Papier & Spiele " , seit über 30 Jahren verkauft_g schon .
Und in dem Turm leben wir auf engstem Raum zusammen und spähen ins feindliche Gebiet .	Und in dem Turm leben wir auf engstem Raum zusammen und wir_s spähen ins feindliche Gebiet .
" Frauen und Mütter sterben , und die Welt weigert sich , davon Notiz zu nehmen " .	" Frauen und Mütter sterben sich_bcr , und die Welt weigert sich , davon Notiz zu nehmen " .
Die Brandenburger Richter zeigten erkennbar Mitgefühl und waren sich der Schwere ihres Spruches bewußt .	Die Brandenburger Richter zeigten erkennbar Mitgefühl und die_f Brandenburger_f Richter_f waren sich der Schwere ihres Spruches bewußt .
